Date,Title,Source,URL,Keyword bucket,Competitor,Is Atlas Copco,Theme,Sentiment,Possible meaning,Team to review
2026-05-04,"Ingersoll Rand Acquires Fox s.r.l., Expanding Metering and Dosing Capabilities",Business Wire,https://news.google.com/read/CBMizwFBVV95cUxNTWZxcHgwS01pbWhGclRTMEowUmtBMEY3NWo0cjU4R2ZmbmJvVDk1TUYtdm9WaWdmNVQxVHBBWEtKSVc4NUV5d2Q4SlJSdmhNWHA1eGhuRTJMSFdjTmZVSzIzRmlyZ0tucElhOWtvcm9vd2xrd3B5dGVlTjhvbExER0NDRS1GNDJRVjIzd0ZmdUlRby1KT0ZyWU4ydXItaWlCZGVpZGJLQTJUSXNPa29MQVlGaWZwTmpNdVJzVEFqM0paUHVOVGJmMEJTY18zNU0?hl=en-US&gl=US&ceid=US%3Aen,Ingersoll Rand,Ingersoll Rand,False,Hiring / expansion,Neutral,Multiple roles or facility activity may suggest capacity or regional expansion; could be worth reviewing with regional sales/marketing.,Leadership / Sales
2026-05-05,Atlas Copco makes two North American acquisitions,gasworld,https://news.google.com/read/CBMingFBVV95cUxQUldCa1hSejZPazNTa245YjFyb240YjRQUE9MMDdPTzI3emg4MWo2elFNOXlTNEQtbDBqX0VsQTAyUHNMdldTQmxvczloaVA5SjNlZFkzaWc3aDBQX3M4VXVwNU8zSnpmaWpLdDB3QVdXUjJaZXVMbGxzUVlzZVE1N1BUVEdWeElsY2EtY2ZVejB1MUZzQWZHeDV4U05yUQ?hl=en-US&gl=US&ceid=US%3Aen,Atlas Copco,,True,Hiring / expansion,Neutral,Multiple roles or facility activity may suggest capacity or regional expansion; could be worth reviewing with regional sales/marketing.,Leadership / Sales
2026-05-08,"VMAC Underhood Air Compressor for International, Chevy Trucks",Work Truck Online,https://news.google.com/read/CBMiowFBVV95cUxOclU3NktpV0lKclV1VVAzMTUweVU1VlBEOHV0WVBlMjhfOTF6VVpwYndJeEtIcXY1NGFwV2Y4cWVBdjlOVlZrSC03cWgwczR3YmNxR0FLS0Y5bjVBVzJzczFSeW5Dd2hKcE5UWDIyTHlURVRGWmR4OG5ZS1otSDlGc3EyODAxRWUweWFuVTlfVkNZLW52QjdIZmhXR2ozcDhCRHNr?hl=en-US&gl=US&ceid=US%3Aen,Air compressor,,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-05-08,DTM70 PTO-Driven Air Compressor,Work Truck Online,https://news.google.com/read/CBMifEFVX3lxTFBsdDNTSWFMdlJYX3BQd2gtWkRsRDFrSVRXTXI1SGtpNnM3SFQ1Y05BVjZIN3hHVHQ1T2Z5Tm1oNDU5MWlaSUt4RmNBeUpZQlV5dHdkTUZXVzhCY3RlN1U5eGNzajRUd2tPaFBZVnFhOHZKT1BUZlJKTk4tMVk?hl=en-US&gl=US&ceid=US%3Aen,Rotary screw air compressor,,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-05-12,Are Wall Street Analysts Bullish on Ingersoll Rand Stock?,Yahoo Finance,https://news.google.com/read/CBMipgFBVV95cUxPa21mdnhiNS1ZSy05UjFNR3E1eE9FVlVqWUNvSlZSMHlLV1BXYU1hMFBwYzNrbnZxLVZpYmZLRnJkcGREbU5sR3VQcDdaRzg4TGc4VW8tWkUxa3pMWlhCcVptSXgxOVlMQ1dOdTc4dUF3dEFvWXlNYm5EdVZNa1RBQUs1Vmk1blplMVJhUHU3Rl96NWN5eG9XeTNPc3NaV2xKMU55Yl9n?hl=en-US&gl=US&ceid=US%3Aen,Ingersoll Rand,Ingersoll Rand,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-05-12,Ingersoll Rand and Garrett Motion Announce Strategic,GlobeNewswire,https://news.google.com/read/CBMinwJBVV95cUxOSEJXTzlyM0UwUnk2UHVOMndua3NuNDd5M1p4ZlNKT1BqcEZwSkQtRkFxMmJnQjVteVY5RXo3dzlrU3FKWGN0QkZUQl9NRUlCemp1TWxGRURrOVp3T0JDQTNjeGtJZXFhZFBwaDQ0SW11cVh4TVhvbHJlRVBWakpRRzhFSl9kZWFyYUx2RlhfbEZOMFpFMzRBYWNnS2JRNldoMWJoakVLUXBRTWdEUlRWbFhNNV92cVVvaFpFQWY4NVRWZTB3YXUtSC1UU2NDOXFZMFFsa2NteUlpSUxnM1I3SXdrcm5Ld3ljeEtqNG84anVJNUluU3B6b1JFZzFlejRfWV9aTG5NaWNCOTdfZVk1M3dLYlREa055Wlg0dlRDSQ?hl=en-US&gl=US&ceid=US%3Aen,Ingersoll Rand,Ingersoll Rand,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-05-14,Garrett Motion Partnership With Ingersoll Rand Meets Strong Share Price Momentum,Yahoo Finance,https://news.google.com/read/CBMiqgFBVV95cUxONm4tbEFrTTVTc1hrQ2xBeE5JajhzRVFDbVN5Q0haUzhwa0ktY3NoVDFQaHVXR2EyTnhCSmVyNnQ2ZFJxWHU3X0JYS3FSSTNfRC1idnMxbURYQ2R3Q3VFOEdmdE9yckZDWGtOUXVyTUFNS05SN1VOaC02dFdCVmJzck5IX1hnTnpCVnpNRWxQdTdqUVRlSU0tdGJ3MVFmN0FBLVJZd3daeV9Zdw?hl=en-US&gl=US&ceid=US%3Aen,Ingersoll Rand,Ingersoll Rand,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-05-15,A Look At Ingersoll Rand (IR) Valuation After Recent Share Price Weakness,Yahoo Finance,https://news.google.com/read/CBMingFBVV95cUxNaE5kZEJnS01sRVYtdDNfZTZBX3FXOHNDQ0p6UG1panpucFpBV2ZpRk9OaS1ER0tCU2hQSUJ1RGJVNDEyMkJYdWYxQUZiZTNCSUlDdjM3WGwwVWRQbGdIOWx3dXhaU2JIT05yVGxPaWhuZy1HYjBYekRhQ3RHTU1kNkQycG84U2puZlBmdkkwSUxSdDZjbkEtUjJiNnpKdw?hl=en-US&gl=US&ceid=US%3Aen,Ingersoll Rand,Ingersoll Rand,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-05-16,Save on a portable tire inflator that works in about one minute,USA TODAY 10BEST,https://news.google.com/read/CBMidEFVX3lxTFBHenEyNWF0czI1V0RBS2luZGNGRUVvTnVjT3VpSjYtUTdUcGlHOFI3VnhGV2l1V1ItUkpEeGRWLTVNbmFtRDRDWFM0UUZ1OGo2bGZOSmRlNl9qcW1VY1F6aGdqbG9SV192RXV3Mzg1ZzUxaTJm?hl=en-US&gl=US&ceid=US%3Aen,Air compressor,,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-05-17,Atlas Copco SDC Deal Reshapes Industrial Portfolio And Valuation Debate,Yahoo Finance,https://news.google.com/read/CBMimgFBVV95cUxNaFpTUTJZZmtxXzFPcGtzdGZuRG5yYWNfT2M4YXN4aUI0ODhzUmV1dGEwbE81cHp6TVpmSVhzSkhhWG9YZmR2aWYwWHVXVUltdTBNa1o0WWZSTC1LY2VzM3JYNzhSZEtpc3NXZmxSRDR1Q3BCN3J0eXdDempjeXFvUERHcWpsSnhyLUMtTm1NMEtaTzExSzd6bkVB?hl=en-US&gl=US&ceid=US%3Aen,Atlas Copco,,True,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-05-20,ELGi Australia launches Demand=Match system,PKN Packaging News,https://news.google.com/read/CBMirgFBVV95cUxNTFkwU3VTblJScnNNMzlmRFQ0SkZLN2xrWExTelZmLVE4SnFWVXhmTzJ3b1pab04wODhRVHZOWHRxR2lqcy1hSkxlRU00c1FydWhPX2VFbFVUcFBrVVJPSkdtMW4yWXR1TjBwZ2p5SjUwdjNuaWpNb0VGQ2w4VlNhNkx0XzVmdnZmVjRBeGE3MTB3V1VWYXlCTXJDYUtURGd4bklSRDR1SFp2eWxhclE?hl=en-US&gl=US&ceid=US%3Aen,Elgi compressor,ELGi,False,New product launch,Neutral,Possible new product/service activity; this page or post may be relevant for SEO gap analysis and product marketing review.,Product Marketing / SEO
2026-05-25,"Loxam SAS entered into a share purchase agreement to acquire 50.30% stake in Mills Locação, Serviços e Logística S.A. from Nacht family, Southern Cross Group and Sullair Argentina, S.A. for BRL 1.8 billion.",marketscreener.com,https://news.google.com/read/CBMi5gFBVV95cUxQRXZidjdOLUJLY3c5d1FGVmZvUTFjc0trMnJBYUo0aC1mQk4yd05aVzUtdGJYNTNZRDRJdmUtc2Z0ZlFzSTZEYWZ0YmdBT3JDZ2NJQVBwY3A0WE5mSWt4enhFS3N4WUFEcUt1bGluV2U1a2ZKeWJKS05rS3N0WEhISHNiV0RvRktJd0RGX0RHbEthdUh1dW5FZUZ4OUpSRFIxNHVubkU2THU0c05DV3VxQU00SXM2eGhOYk1QS195MFp0Y2tmQS1GZW84a3Z5X2FiOXAxNFd0TTFJOHg1OC1BOXFpcnpwZw?hl=en-US&gl=US&ceid=US%3Aen,sullair,Sullair,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-05-25,"Booster Compressor Market Size, Share, Growth | Analysis, 2034",Fortune Business Insights,https://news.google.com/read/CBMifEFVX3lxTE8xRzg5cTBVSUstNERvUXdYMUVLcmtFWE5UakI0Znl6VHgxR0pWMjNka1hveXJNMzl4RFI0TEpiRHNDdmhIWHplNXJNaGFiaVc3dTJnSEM2bzVxS09qQmx5T2JuLWFKTUpLZ1RLcEhnWUNnRFM1NWE3dVFuakQ?hl=en-US&gl=US&ceid=US%3Aen,Industrial Air compressor,,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-05-26,France’s Loxam strikes R$2bn deal for control of Brazil’s Mills,Valor International,https://news.google.com/read/CBMixwFBVV95cUxOYmo4UmppRjNtWTc0ZGRDdGlhQTlhY1JFV3JRcEhoMUpBYnRDTWdzUFhHTzlxZHE3VFBkNExCM2tzYUhxYTRjM0ZiN004R1NXTzlWWHVrRGlmNV9mQzUzcER0OFdrVnBYaVhvUjhiSXdGQkRtT3JEbnRtMW9GR1ZyVUZ0UzR5enN5YV9zaHhvRmF4Rjdhd0lpSDE2eEFLVW9ubkx6eDNDZWlnRjN0NmZIcWFVLWQ4c2NqQ1pHTDJDMEJQMDdPT0Rj0gHWAUFVX3lxTFBFbzJsT1Fpb1BNeXY2elo2UDZkVEYtSm1TZExaUzFVcUJaQXFGal94R3h6ZVhfU00ycEJhTWVJa3VELXFPcWRoMUNFSFMyYnE1dHRYZjZZa3FPS2szb3NrZWtBVGhSTldwbnRsV0lqSjR0RjdKQ1VUeXRmZDNoam9EV2Y0XzdaaGlwUXVnMkZBY3VYUzZybS0yQk43ZXZrY2xFa2pCZm9EQzN5WTI3OU1aU3BQY3VHc0FKa0xfR3JuRG1XbHgtYVExMmJ3QUp1bFFUbDJLbUE?hl=en-US&gl=US&ceid=US%3Aen,sullair,,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-05-26,Loxam to acquire Mills,Vertikal,https://news.google.com/read/CBMicEFVX3lxTFBnaXlLWjN3cXFETFdGM244WXdMbDBLZDNDMHBaV3doWlozY3hRZkZXS1lKSm9QSDZEeldUNm5FQmZPblh0MTBVWW5wSzRoMjV4ZVBqTU9aSC1nbTkzNU9CZnU0Qkp2alpfdWJVQlQxYUw?hl=en-US&gl=US&ceid=US%3Aen,sullair,,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-06-01,Why Class 0 Oil-Free Compressors Are Essential for the Food & Beverage Industry,FoodProcessing.com.au,https://news.google.com/read/CBMi6wFBVV95cUxQNXpQQUMwS1JVMnZYZ0VfNTJBSHBwOG9kaFdLd0FVTDdxWDAtTDlRVkhoVUh0aGFncWRKNVdxTV80R0FPQ0h1R1VMdTNPZksySjN0bDg1Qzl2a2RJRS1YbzV6TjE1TXN5RUFhUWVBTHF2YzV2bndsNVVPanNfSTdjcmhkcG9HczBOanF0anB6Z3NabnBqOXRialFwS20wVWI5d0Z4LWtnbk1oU2F3NEZ3bnFUOFIzbDlqbk5NZnAzSmdsWDRoUEhKeEJZOGJ6ZW9CZVdGOWFPUE5QcGpvYmpnR0s0U0RyTU93di00?hl=en-US&gl=US&ceid=US%3Aen,Oil free air compressor,,False,Oil-free compressors,Neutral,Potential opportunity to compare oil-free product messaging; may be useful for product marketing review.,Product Marketing
2026-06-01,"Compressed Air Treatment Equipment Market Size, Share [2034]",Fortune Business Insights,https://news.google.com/read/CBMikgFBVV95cUxNSFN4dkRUR3BRNHhwZHF2aEYxaW1iMk5fTUJYeEY1amVmMTZ2cHlKUkxSREoyUXRTYkd3UTRENnZ5RjhTS1RJQzY1dFpjMG9KOXJzUjdKQko0V2lXbWxjbnNfT3BQSGZnSVg2YzJPTnJRblJnd1ZDLW5Ic3oxX293b1BWNV8td29saTZqRWVGeXV4UQ?hl=en-US&gl=US&ceid=US%3Aen,Industrial Air dryer,,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-06-01,Kaishan USA's KPE Portable Electric Air Compressor Wins 2026 Most Valuable Product From Plant Engineering Magazine,newswire.com,https://news.google.com/read/CBMipgFBVV95cUxPaFNPVENHWHlMemJCYlZnX0NpcUxRQmhmMHU5ajhBWWdfajNoMk93cTJKcWVaYmJzTE5kM3RrMGZSQWNzS09nd255WDdGa0tMVHllbzljblVCQlN4ejBvOWFZUWdVWUpTSm9LdXNJdTFjX250anExSWZQS0U1UUVCM1VWY2M5eUdfbkhOZ0JhUGJHWTdZckxkQnlvdGVfa3VUcDdxaE13?hl=en-US&gl=US&ceid=US%3Aen,Industrial Air compressor,,False,General brand activity,Positive,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
2026-06-03,"Ingersoll Rand cracks Fortune 500 after years on cusp, joining seven Charlotte-area companies",The Business Journals,https://news.google.com/read/CBMirAFBVV95cUxQT05LTmk4amRXdTllc0tSdkkyQTlJbjRkczRDdmxoQlVuVURxbDhuemRydG4yUTdZV3h6UlVJZUtqT01qTm1tMnFvdGZwMWZOY09LakxUaEtuc1pydjlYZDgtQk9kWUl4TE1BUmd1dmNmTTJ4TGtrcjIyWkFFOUs5Skx4VDlKQzNhTW1mZlJsLVo3NGpWcTh2WFI3WS1iZExGd243UUVycWE1TS1y?hl=en-US&gl=US&ceid=US%3Aen,Ingersoll Rand,Ingersoll Rand,False,General brand activity,Neutral,"General brand visibility activity; logged for completeness, likely lower priority for action.",Marketing
